OBJECTID,LENGTH,Greenway Type
1,7945.73,1
2,3567.06,1
3,22637.6,1
4,7668.84,1
5,389.406,1
6,36787.5,1
7,2729.22,1
8,1674.94,1
9,9763.71,1
10,19320,1
11,2363.52,1
12,2069.33,1
13,186.211,1
14,7493.66,1
15,1757.85,1
16,4428.02,1
17,1421.88,1
18,257.276,1
19,2574.12,1
20,7075.11,1
21,12785.6,1
22,2836.68,1
23,102.834,1
24,219.12,1
25,10.3655,1
26,77.3683,1
27,76.7361,1
28,1687.72,1
29,205.645,1
30,205.813,1
31,1034.11,1
32,40.0237,1
33,1301.69,1
34,2232.58,1
35,3521.06,1
36,2024.98,1
37,846.1,1
38,99.0112,1
39,100.316,1
40,166.094,1
41,160.314,1
42,751.468,1
43,845.896,1
44,1572.58,1
45,1573.79,1
46,358.447,1
47,76.8771,1
48,4806.71,13
49,18364.4,13
50,8594.79,13
51,1116.05,1
52,681.681,1
53,6214.29,1
54,12116.5,1
55,12313.4,1
56,10292.2,1
57,39054.2,1
58,23819.6,1
59,2344.5,1
60,6803.28,1
61,4673.7,1
62,1648.41,1
63,360.084,1
64,466.795,1
65,25042.2,1
66,18790.8,1
67,12623.3,1
68,449.182,1
69,16795.2,1
70,4681.92,1
71,9405.83,1
72,1092.47,1
73,16130.6,1
74,1774.01,1
75,1.6262,1
76,2556.75,1
77,50.7728,1
78,14.5962,1
79,37.6612,1
80,50.6436,1
81,3647.66,1
82,2983.8,13
83,5018.41,13
84,3493.89,13
85,19676.8,1
86,4068.15,1
87,9499.28,1
88,6906.61,1
89,854.65,1
90,18531.6,1
91,13.9914,1
92,4828.49,1
93,22164.6,1
94,6513.98,1
95,171.171,1
96,281.237,1
97,2984.8,1
98,5457.57,1
99,864.753,1
100,18075.2,1
101,238.502,1
102,82.3505,1
103,31039.5,1
104,2033.81,1
105,2045.59,1
106,859.586,1
107,3596.16,1
108,35734.6,1
109,5328.6,1
110,5734.9,1
111,6488.21,13
112,17307.3,13
113,1599.55,13
114,226.555,13
115,23696.4,1
116,2233.43,1
117,705.234,1
118,705.136,1
119,32430,1
120,24411.4,1
121,35548.6,1
122,5785.36,1
123,14546.7,1
124,6866.04,1
125,6236.94,1
126,4312.85,1
127,5800.81,1
128,7091.24,1
129,595.254,1
130,842.323,1
131,2734.68,1
132,11588.8,1
133,5611.58,1
134,16424.9,1
135,4160.55,1
136,6.91134,1
137,2869.25,1
138,23148.2,1
139,177.442,1
140,48.4408,1
141,8582.9,1
142,3065.36,1
143,8193.1,1
144,41656.7,1
145,7319.23,1
146,5192.49,1
147,996.004,1
148,3604.97,1
149,3100.72,1
150,6860.41,1
151,16544.3,1
152,6168.28,1
153,14469.4,1
154,2261.67,1
155,1529.11,2
156,3549.46,2
157,19.0772,2
158,44.1401,2
159,388.467,2
160,777.285,2
161,124.193,2
162,457.839,2
163,4789.31,2
164,1754.54,2
165,201.646,2
166,24.5084,2
167,2008.57,2
168,20517.4,2
169,27.6794,2
170,88.2232,2
171,1636.94,2
172,1290.05,2
173,2201.19,2
174,3132.21,2
175,5990.23,2
176,4661.92,2
177,1637.79,2
178,7048.78,2
179,80.5118,2
180,4888.75,2
181,2548.29,2
182,11439.7,2
183,218.93,2
184,7292.65,2
185,37362.1,2
186,171.647,2
187,5477.83,2
188,8547.39,2
189,13992.6,2
190,5991.36,2
191,7955.4,2
192,6881.81,2
193,16812.1,2
194,1487.03,2
195,5796.49,2
196,10895,2
197,3049.41,2
198,2853.75,2
199,75.4536,2
200,378.735,2
201,6704.49,2
202,1024.47,2
203,1485.59,2
204,20580.7,2
205,3674.81,2
206,672.976,2
207,2045.05,2
208,3077.27,2
209,2966.31,2
210,108.054,2
211,452.441,2
212,328.999,2
213,134.486,2
214,121.814,2
215,22.4924,2
216,547.856,2
217,148.202,2
218,3464.68,2
219,235.574,2
220,5840.88,2
221,11845.7,2
222,2608.29,2
223,196.944,2
224,20337.4,2
225,4708.92,2
226,3316.39,2
227,692.626,2
228,2742.25,2
229,7390.88,2
230,20039.1,2
231,913.306,2
232,3060.85,2
233,1909.8,2
234,55.8707,2
235,140.626,2
236,9525.57,2
237,7768.38,2
238,10650.3,2
239,347.871,2
240,330.866,2
241,3015.95,2
242,1328.56,2
243,979.17,2
244,15338.5,2
245,841.053,2
246,403.618,2
247,910.294,2
248,1811.03,2
249,80.7769,2
250,1898.81,2
251,7972.41,2
252,6224.11,2
