OBJECTID,Land Use Type,Acres,Shape__Area,Shape__Length
1,Conservation/Limited,1.54932442,67488.5750837326,2894.48480752378
2,Conservation/Limited,2.20739928,96154.3176803589,4157.80390821982
3,Conservation/Limited,0.71056649,30952.2781214714,893.168598804976
4,Conservation/Limited,0.83089656,36193.8562440872,698.12303650822
5,Conservation/Limited,1.25410463,54628.8004360199,1623.8200423872
6,Conservation/Limited,0.82831973,36081.6093139648,1620.67315924218
7,Conservation/Limited,0.83385663,36322.7969641685,1591.94092187243
8,Conservation/Limited,21.91892627,954788.475910664,14115.1064564511
9,Conservation/Limited,63.6227642,2771407.74610567,18333.4135136951
10,Conservation/Limited,7.07586871,308224.85651207,2511.28942169058
11,Conservation/Limited,1.53140589,66708.0440049171,1449.70905759192
12,Conservation/Limited,0.59267275,25816.8263955116,721.687679601649
13,Conservation/Limited,10.00351992,435753.349581242,6009.09255982995
14,Conservation/Limited,9.13763224,398035.280473709,3629.12665836125
15,Conservation/Limited,19.04748295,829708.398570061,8903.02953284103
16,Conservation/Limited,2.30879609,100571.162793636,2082.66158263031
17,Conservation/Limited,0.60468572,26340.1113882065,675.425622317852
18,Conservation/Limited,2.44328736,106429.602724552,1790.72524891872
19,Conservation/Limited,40.81765062,1778016.94943714,17681.8299818483
20,Conservation/Limited,0.71948907,31340.9454803467,841.235742088668
21,Conservation/Limited,16.36562766,712886.776648521,8447.72999414248
22,Conservation/Limited,7.43568416,323898.41829586,4348.69274923405
23,Conservation/Limited,4.69459417,204496.532272816,3011.02669112125
24,Conservation/Limited,4.4792169,195114.697852612,2427.40529791088
25,Conservation/Limited,0.85460154,37226.4450531006,808.50883124172
26,Conservation/Limited,3.25206865,141660.117486954,2289.82415366871
27,Conservation/Limited,16.19187981,705318.319803715,8471.4095405883
28,Conservation/Limited,0.56068721,24423.5361118317,782.204876200698
29,Conservation/Limited,0.73595467,32058.1874256134,724.830635896555
30,Conservation/Limited,1.3653754,59475.7555046082,981.039696147397
31,Conservation/Limited,12.4197058,541002.411719799,7085.5777221849
32,Conservation/Limited,0.52708457,22959.8052587509,601.292360465016
33,Conservation/Limited,1.48834541,64832.3294277191,1630.4996752578
34,Conservation/Limited,117.05876359,5099079.99488497,42917.2721240117
35,Conservation/Limited,0.79853665,34784.2586221695,1224.22414024019
36,Conservation/Limited,1.5567949,67813.9893922806,1210.49102602478
