OBJECTID,F_Name,F_Type,Street,Town,OwnerTyp,P_Ground,B_Field,S_Field,F_Field,M_Field,B_Court,T_Court,V_Court,Track,SkatPark,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,RestRoom,W_Path,B_Path,SplashPark,PickBall,Shelter,CommGard,Stage,Dog,TabGame,Camping,Fitness,GrantFund,POINT_X,POINT_Y,DEMID,StateBond,LWCF,GlobalID,RIEJ,Justice40,x,y
1,John H Chafee Rome Point Preserve,SP,Boston Neck Road,North Kingstown,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.43125142,41.54018644,7100,?,N,{4711051A-628D-43D7-85C2-003C4D61DD58},N,N,346904.348982003,166469.628207169
2,George C. Playfield,LP,Point Judith,Narragansett,MUN,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.48645371,41.38932645,4400164,N,Y,{EB037A82-64A8-4754-8028-004F4CD61F77},N,N,331800.451368336,111492.581009254
3,Ponagansett School,SC,Anan Wade,Glocester,SCH,0,2,2,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.71449857,41.86730856,"4400343,897040",Y,Y,{4CB3B062-3191-4F72-846E-00F3B52138BF},N,N,269657.809905834,285735.745317504
4,Paris Brook,FB,Mount Tom,Exeter,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.72913979,41.56466939,6115,?,N,{46A589E2-C1E2-4F8B-B9ED-012DFC26A9C3},N,N,265376.320437334,175466.482260667
5,Redwood Farms,LP,Redwood,Portsmouth,MUN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.29442513,41.56242548,Not Applicable,N,N,{8D1551F4-9788-47A8-B02F-01384C7A7E7E},N,N,384343.449628584,174632.606303751
6,Galilee Boat Ramp,FB,Great Island,Narragansett,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.50748385,41.38319854,90745,?,N,{C28619CA-485B-4C1F-B47B-01D5BECF8244},N,N,326029.563303836,109259.542824417
7,Hopeworth Playground,LP,Hopeworth,Bristol,MUN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.24149549,41.68294616,Not Applicable,N,N,{7D99D9F3-2B04-499A-B9D1-01DCD3EFA680},N,N,398697.21882125,218587.70507317
8,Charlestown School,SC,Old Shannock,Charlestown,SCH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.65536211,41.4495815,Not Applicable,N,N,{EA0E1CD9-C4C7-40E0-A0C3-020426330297},N,N,285491.16767475,133485.869699754
9,Matteson Pond,CA,Carlton,West Warwick,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.53156461,41.69270542,4400073,N,Y,{476680B7-BA7B-4EE1-98C8-021B8BFB75BD},Y,N,319462.352685001,222039.53576792
10,Mount Hope Sports Fields,SC,Chestnut,Bristol,MUN,0,1,2,1,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.27165638,41.68800767,2013-70-01,Y,N,{1EE5017C-81E7-4B32-AB3F-02B6E7158EE8},N,N,390453.4843245,220408.796903417
11,Ardoene Park,LP,Ardoene,Providence,MUN,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.42553268,41.79032642,Not Applicable,N,N,{E89066DF-0C52-4B34-96F3-02BCA24725DE},Y,N,348391.193777334,257619.277272336
12,Dutemple / McKenna Park,LP,Beckwith,Cranston,MUN,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.43143461,41.78110037,"4400122,95",Y,Y,{840C2C9D-9401-4E3B-9036-02CE25524ECD},Y,N,346784.369235083,254255.991348006
13,North Davisville Field,AF,Babcock,North Kingstown,MUN,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.43349769,41.61653037,2013-70-20,Y,N,{6172C538-D92A-48E9-9F10-03039EBE6F5A},N,Y,346267.970333502,194287.639500171
14,Brenton Point Park,SP,Atlantic,Newport,STA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,-71.35443376,41.45196351,7002,?,N,{0516A9CD-044D-42DE-82C4-0405AB31D699},N,N,367988.524005167,134349.148485005
15,Smith & Sayles Reservoir,FB,Point,Glocester,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.67769486,41.89692732,9032,?,N,{94CF0B77-A6B0-494E-9194-04308FA2AD45},N,N,279704.822948251,296506.022661418
16,Eisenhower Park,LP,Touro,Newport,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.31378654,41.48993717,"4400300,2013-10-09",Y,Y,{C810D124-C25D-4DB8-BD06-0433939E5F34},N,N,379101.679600336,148207.244128339
17,East Bay Bike Path,SP,Franklin,Warren,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,N,-71.28067042,41.72581274,Not Applicable,N,N,{C84B660E-40BF-4A5E-A67D-0468C50F1047},Y,Y,387956.288203418,234178.274613753
18,Gano St. Park,LP,Power,Providence,MUN,0,2,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.388622,41.82382257,"4400175,897042",Y,Y,{227F85BA-D9BD-46C4-AA8A-04DE386F7C40},Y,N,358441.228467252,269836.099623419
19,Pearl St. Park,LP,Providence,Providence,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.41654073,41.81263186,Not Applicable,N,N,{93586645-A508-4E2B-86A2-0581BBD03936},Y,Y,350835.481867749,265749.58614292
20,Tower St. School,LP,Narragansett,Westerly,SCH,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.8136654,41.37926287,Not Applicable,N,N,{C44AF189-46C0-4736-A4E0-0596939BFDDA},N,N,241999.856035501,107981.172021583
21,Manning Field,AF,Danielson,Scituate,SCH,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.61120356,41.83071507,Not Applicable,N,N,{067D44E1-4AA5-48DF-864B-05AD2FC64204},N,N,297776.236936584,272347.664154083
22,Sowams School Playground,SC,Sowams,Barrington,SCH,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.29434247,41.75711812,Not Found,Y,N,{788D2F7D-ED57-43D4-9241-06437F9D2152},N,N,383860.6904235,245701.059310921
23,Pocasset Field,LP,Main,Tiverton,MUN,1,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.18440258,41.66652748,Not Applicable,N,N,{7EBB4D77-5B20-4340-B484-06944B7E1C4F},N,N,414314.82341275,212656.85308975
24,Coggeshall School,SC,Evarts,Newport,SCH,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.31037141,41.50074988,Not Applicable,N,N,{49ED17E3-9EEF-4A50-81D1-076D68258AE3},Y,Y,380028.709898502,152149.20113942
25,Indian Lake Boat Ramp,FB,Indian,South Kingstown,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.46953362,41.47410787,Not Applicable,N,N,{4D81FF4D-B60E-481B-BB47-0784379B84D5},N,N,336432.474584583,142385.946059667
26,Bridgham School Playfield,SC,Broadway,Providence,SCH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.43764075,41.81743124,Not Applicable,N,N,{78554C01-5F07-4049-B446-07AF680DB7EF},Y,Y,345082.055382501,267493.597418666
27,Pascone Conservation Area,CA,Burrati,Johnston,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.51138179,41.83072214,Not Applicable,N,N,{95F6CD54-FD39-4904-95CC-08324DB27AB0},N,N,324981.372486833,272330.829542086
28,Kings Beach,FB,Price's Neck,Newport,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.34235338,41.45435982,9081,?,N,{75BED3B4-9FBE-4773-9C66-08475AF54BF8},N,N,371298.619419083,135228.109325506
29,Merino Park/Woonasquatucket Adventure,LP,Heath,Providence,MUN,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Y,-71.45413944,41.82022963,"2016-70-05,2020-40-09",Y,N,{CD0AB587-3D48-42B6-9517-084BD64E7FA2},Y,Y,340584.076517586,268510.494006917
30,Margaret F. Carroll Park,LP,Main,North Smithfield,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.57904964,42.00004095,Not Applicable,N,N,{AC4DF158-2A26-47BA-8BD5-08505AE63E02},N,N,306596.244230919,334041.20940192
31,Frenchtown School Playground,LP,Frenchtown,East Greenwich,MUN,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.50445365,41.62355699,897032,Y,N,{75874E13-1346-40B8-AC6E-088AE8394DB8},N,N,326865.642340336,196841.067792252
32,Coventry Greenway And Bike Path,LP,Main,Coventry,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.57399033,41.69506959,Not Applicable,N,N,{6E37049D-4685-4619-9139-08BB61F4FE72},N,N,307875.707879335,222908.119332589
33,Hazard Field,SC,School,South Kingstown,SCH,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.49368144,41.44556972,4400240,N,Y,{A918B7CE-626D-4856-B83D-08C382B04F35},N,N,329815.65776575,131985.916334838
34,Brookside Ave Playground,LP,Brookside,West Warwick,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.52357398,41.69825259,Not Applicable,N,N,{7BAF2E6A-012E-42D8-9F09-08CE819EF770},Y,N,321645.321744252,224060.178380169
35,Pascoag Reservoir Fishing Access,FB,Brandy Brook,Glocester,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.71816035,41.92723289,9033,?,N,{967CC627-0015-459D-A550-08EC37A836D4},N,N,268715.928915583,307574.94868625
36,Barry Memorial Field,AF,Smithfield,Woonsocket,MUN,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,-71.51870073,41.98605713,Not Applicable,N,N,{E8376ABF-453E-448C-B291-0927EDA9FC29},Y,N,322999.031307168,328936.000124171
37,Scott Elementary School,SC,Centerville,Warwick,SCH,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.49099389,41.69957752,4400129,N,Y,{DCD9EFF5-9599-470C-AC0D-0942AC0F16BC},N,N,330542.835773334,224542.217442334
38,Mystic Woods,CA,South,East Greenwich,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.52893352,41.60704214,Not Applicable,N,N,{073C9BBC-C51E-4ED6-9360-095F4F9DD7F7},N,N,320170.48611125,190824.579825252
39,Hope Memorial Field,LP,Hope,Scituate,MUN,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.55482661,41.73672989,"4400040,907026",Y,Y,{EFA710D5-5ECC-4B6E-ACDA-097A75DF29FF},N,N,313119.213140335,238084.907548502
40,Marion Irons Beach,LP,Snake Hill,Glocester,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.62581788,41.87961516,Not Applicable,N,N,{84B1889B-BEC8-4E40-9D4C-0A1F9C62B441},N,N,293819.402002502,290172.426404752
41,Gaspee Point,FB,Bay Shore,Warwick,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.38306105,41.74860601,7053,?,N,{AA4C613A-6EF5-4E0B-9820-0A2E083448C4},N,N,359909.978810586,242199.640788838
42,Ellery St. Park,LP,Ellery,Providence,MUN,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.43855381,41.81085207,Not Applicable,N,N,{745D026F-6D23-40BB-BCA9-0AA486838267},Y,Y,344834.874446418,265095.973276921
43,Roger Williams National Park,LP,Main,Providence,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,-71.41054609,41.83000824,Not Applicable,N,N,{E7388929-AA4B-4652-8C9A-0AB395056C5A},Y,Y,352463.109518003,272083.171900921
44,Abbie Perry Park,LP,Sand Turn,South Kingstown,MUN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.57801365,41.49799875,Not Applicable,N,N,{278E52AB-1AE9-43AD-AC0B-0B00A23DD275},N,N,306711.981204167,151099.425023749
45,Washington Secondary Bikepath,LP,Sherman,Cranston,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,N,-71.47585682,41.75859166,Not Applicable,N,N,{FB897D4C-61DC-4804-9423-0B74B8A79A1A},N,N,334670.627386503,246047.377187833
46,City Park,LP,Warwick Park,Warwick,MUN,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Y,-71.41386648,41.69106512,"4400129,2016-70-07,606,2013-40-22",Y,Y,{A3179D07-7C9A-4DD8-BB3F-0BA076B98FE6},N,N,351608.863523085,221452.005775005
47,Crossman St. Playground,LP,Crossman,Central Falls,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.40091105,41.88861258,"4400316,2013-40-05",Y,Y,{3DB06CE5-0D0B-4BB1-8F2F-0BA16F3F693C},Y,Y,355064.401559502,293441.576690584
48,Hazard School,SC,School,South Kingstown,SCH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.49519909,41.44526431,Not Applicable,N,N,{CF404A37-BEE3-47AF-9845-0C49538A42D1},N,N,329399.577561166,131874.603893422
49,Biscuit City,FB,Biscuit City,Richmond,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.61579911,41.45082335,5004,?,N,{6238FCF8-96BB-488A-9845-0D11F07AD3CA},N,N,296337.880233251,133921.380967833
50,Stillwater Mill Playground,LP,Tinkham,Burrillville,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.67393042,41.96404941,2013-10-03,Y,N,{A0379B02-0B7A-44A9-95A9-0D73A37BDC37},N,N,280779.33261025,320963.641396999
51,Sherman Ave. Field,LP,Cranston,Cranston,MUN,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.47712039,41.75831197,907014,Y,N,{3D5F567F-71C6-495C-8024-0D7E8105EF3E},N,N,334325.89743292,245945.366893172
52,Conimicut Pt. Beach,LP,Point,Warwick,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Y,-71.35973888,41.71665252,"4400221,887061",Y,Y,{C984BA88-281F-4260-A36C-0D922A3627F6},N,N,366377.479327001,230795.273505755
53,Weaver Cove,FB,Unnamed,Portsmouth,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.28792903,41.57381642,917031,Y,N,{21A99887-A4EC-4BCE-81B7-0E9D79D280B1},N,N,386111.057641916,178787.575355999
54,Rochambeau Square,LP,Brewster,Providence,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.39775158,41.84952876,Not Applicable,N,N,{046B0AF5-133D-4B93-A82B-0EAF7AD72A91},N,N,355941.661616001,279200.352220334
55,G. Boyd Field,LP,Waterview,Warwick,MUN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.40192848,41.7092743,4400251,N,Y,{ECD84321-946E-4567-ACEF-0F1D7F608AA7},N,N,354861.918040585,228090.763822921
56,Nathaniel Greene Park,LP,Victory,Coventry,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.69472853,41.7020462,Not Applicable,N,N,{B9A9A6A5-2B3A-490B-8EB4-0F25BC883BBD},N,N,274906.433594916,225501.772281751
57,Rocky Point Park,LP,Rocky Point,Warwick,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Y,-71.36678937,41.68834371,"7139,2016-40-14,2008-60-01,2016-40-14",Y,N,{9C6B32ED-9178-4CDF-A80F-0F4D870AA7BC},N,N,364235.138795417,221422.153800584
58,Kimberly Ann Rock Memorial Athletic Complex,AF,Ferris,East Providence,MUN,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,-71.34647216,41.84853354,Not Applicable,N,N,{A8302310-DAB4-4C0F-946D-0FBC44B13829},N,N,369913.763264917,278858.497917168
