OBJECTID,ROAD_NAME,STATUS,PROJ_NAME,TYPE,TOWN,Shape__Length
1,HIGH ST,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,CENTRAL FALLS,921.72412085672
2,PITMAN ST,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,PROVIDENCE,186.892024130536
3,RIVER ST,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,CENTRAL FALLS,226.922523554153
4,BLACKSTONE BLVD,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,BIKE LANES,PROVIDENCE,8419.11716097091
5,BOWLES CT,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,PAWTUCKET,275.595898441278
6,PLEASANT ST,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,PAWTUCKET,3111.17350555879
7,SAMOSET AVE,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,CENTRAL FALLS,424.533584803441
8,NA,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,CENTRAL FALLS,1866.29563106559
9,COURTLAND ST,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,CENTRAL FALLS,468.102358165906
10,ALFRED STONE RD,COMPLETED,BLACKSTONE RIVER BIKEWAY,PATH,PROVIDENCE,1984.87660176592
11,BLACKSTONE BLVD,COMPLETED,BLACKSTONE RIVER BIKEWAY,PATH,PROVIDENCE,8551.8517840465
12,IRVING RD,COMPLETED,BLACKSTONE RIVER BIKEWAY,PATH,PROVIDENCE,1522.87958845349
13,GULF ST,COMPLETED,BLACKSTONE RIVER BIKEWAY,PATH,PROVIDENCE,2685.08540279302
14,E RIVER RD,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,PROVIDENCE,946.913373487943
15,NA,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,PROVIDENCE,3894.80230233916
16,NA,COMPLETED,EAST BAY BIKE PATH,PATH,BRISTOL,23.0935575222058
17,NA,COMPLETED,CRANSTON WASHINGTON SECONDARY BIKE PATH,PATH,CRANSTON,13197.2070661565
18,NA,COMPLETED,WASHINGTON SECONDARY BIKE PATH,PATH,WARWICK,7093.84180332536
19,NA,COMPLETED,CRANSTON WASHINGTON SECONDARY BIKE PATH,PATH,CRANSTON,4508.03039774234
20,NA,COMPLETED,WASHINGTON SECONDARY BIKE PATH,PATH,WEST WARWICK,4045.5172900659
21,NA,COMPLETED,CRANSTON WASHINGTON SECONDARY BIKE PATH,PATH,CRANSTON,10719.7088730644
22,TAFT ST,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,PAWTUCKET,8738.87725292208
23,TAFT ST,UNDER DESIGN 2015,BLACKSTONE RIVER BIKEWAY,PROPOSED PATH,PAWTUCKET,2050.33552905561
24,NA,COMPLETED,WASHINGTON SECONDARY BIKE PATH,PATH,COVENTRY,8975.16350480576
25,NA,COMPLETED,WASHINGTON SECONDARY BIKE PATH,PATH,COVENTRY,2664.0076990644
26,NA,COMPLETED,WASHINGTON SECONDARY BIKE PATH,PATH,COVENTRY,5984.75957518983
27,NA,COMPLETED,WASHINGTON SECONDARY BIKE PATH,PATH,COVENTRY,10724.847252162
